20230414_22:03:17 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:03:17 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_22:03:39 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:03:39 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:03:39 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_22:03:39 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230414_22:04:09 -  App Detail error for com.peoplefun.bricksnballs on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:04:41 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:06:12 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:06:38 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:06:38 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230414_22:07:05 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:07:05 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:07:05 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:07:26 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:07:26 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:07:26 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:07:55 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:07:55 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:08:33 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:08:58 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:08:58 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:09:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:09:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:09:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:09:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230414_22:10:35 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:10:35 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230414_22:10:35 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:10:35 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230414_22:11:03 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:11:34 -  App Detail error for com.mx.ringtone.pro on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:11:54 -  App Detail error for com.me2zen.tripeaks.v4.and on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:11:54 -  App Detail error for com.me2zen.tripeaks.v4.and on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:12:57 -  App Detail error for com.walking.stepbooster on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:12:57 -  App Detail error for com.walking.stepbooster on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:12:57 -  App Detail error for com.walking.stepbooster on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:12:57 -  App Detail error for com.walking.stepbooster on detail developer_address: list index out of range 
20230414_22:13:25 -  App Detail error for com.train.ramp.jumping on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:13:54 -  App Detail error for com.solitaire.klondike.my.magic.dragon.friends.cardgames on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:14:29 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_22:14:29 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail developer_address: list index out of range 
20230414_22:15:47 -  App Detail error for com.seven.nursestory2 on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_22:15:47 -  App Detail error for com.seven.nursestory2 on detail video_link: 'NoneType' object is not subscriptable 
20230414_22:15:47 -  App Detail error for com.seven.nursestory2 on detail developer_address: list index out of range 
20230415_18:16:08 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:06:04 -  App Detail error for com.PYOPYO.StarTracker on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:06:05 -  App Detail error for com.PYOPYO.StarTracker on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:06:05 -  App Detail error for com.PYOPYO.StarTracker on detail os: 'NoneType' object is not subscriptable 
20230428_23:06:05 -  App Detail error for com.PYOPYO.StarTracker on detail app_version: 'NoneType' object is not subscriptable 
20230428_23:06:35 -  App Detail error for com.stardust.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:06:35 -  App Detail error for com.stardust.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:06:35 -  App Detail error for com.stardust.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:06:35 -  App Detail error for com.stardust.app on detail developer_address: list index out of range 
20230428_23:07:49 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:07:49 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:07:49 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:07:49 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail developer_address: list index out of range 
20230428_23:08:50 -  App Detail error for com.cavagrill.cavagrill.android.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:08:50 -  App Detail error for com.cavagrill.cavagrill.android.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:08:50 -  App Detail error for com.cavagrill.cavagrill.android.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:08:50 -  App Detail error for com.cavagrill.cavagrill.android.app on detail developer_address: list index out of range 
20230428_23:09:13 -  App Detail error for com.channel.live.accuate.forecast.weather on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:09:13 -  App Detail error for com.channel.live.accuate.forecast.weather on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:09:37 -  App Detail error for com.wf.wellsfargomobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:09:37 -  App Detail error for com.wf.wellsfargomobile on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:09:37 -  App Detail error for com.wf.wellsfargomobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:09:37 -  App Detail error for com.wf.wellsfargomobile on detail developer_address: list index out of range 
20230428_23:10:05 -  App Detail error for com.ymca.universalapp on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:10:05 -  App Detail error for com.ymca.universalapp on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:10:05 -  App Detail error for com.ymca.universalapp on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:10:57 -  App Detail error for grainy.gmanga on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:10:57 -  App Detail error for grainy.gmanga on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:10:57 -  App Detail error for grainy.gmanga on detail developer_address: list index out of range 
20230428_23:11:27 -  App Detail error for com.cupshe.cupshe on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:11:27 -  App Detail error for com.cupshe.cupshe on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:11:27 -  App Detail error for com.cupshe.cupshe on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:11:27 -  App Detail error for com.cupshe.cupshe on detail developer_address: list index out of range 
20230428_23:12:01 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:12:01 -  App Detail error for com.DogSong.Pianotiles.Musicgames.edm on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:12:30 -  App Detail error for com.edjing.edjingdjturntable on detail video_link: list index out of range 
20230428_23:12:30 -  App Detail error for com.edjing.edjingdjturntable on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:12:30 -  App Detail error for com.edjing.edjingdjturntable on detail os: 'NoneType' object is not subscriptable 
20230428_23:14:42 -  App Detail error for com.expedia.bookings on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:14:42 -  App Detail error for com.expedia.bookings on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:14:42 -  App Detail error for com.expedia.bookings on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:16:20 -  App Detail error for com.stringr.android.stringr on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_23:16:20 -  App Detail error for com.stringr.android.stringr on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:16:20 -  App Detail error for com.stringr.android.stringr on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_23:16:41 -  App Detail error for com.stromming.planta on detail video_link: 'NoneType' object is not subscriptable 
20230428_23:16:41 -  App Detail error for com.stromming.planta on detail pegi_detail: 'NoneType' object is not subscriptable 
