20230414_20:17:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:17:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:17:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:17:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230414_20:17:57 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:17:57 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:17:57 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:17:57 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230414_20:18:17 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:18:17 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:18:17 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230414_20:18:17 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230414_20:18:41 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:18:41 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:18:41 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:18:41 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230414_20:19:02 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:19:02 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:19:02 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:19:02 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_20:19:24 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:19:24 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:19:24 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_20:19:24 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230414_20:19:46 -  App Detail error for com.peoplefun.bricksnballs on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:20:12 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:20:56 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:21:17 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:21:17 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230414_20:21:38 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:21:38 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:21:38 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:21:59 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:21:59 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:21:59 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:22:21 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:22:21 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:22:42 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:23:03 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:23:03 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:23:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:23:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:23:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:23:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230414_20:24:06 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:24:06 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230414_20:24:06 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:24:06 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230414_20:42:27 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:42:27 -  App Detail error for com.prayapp.client on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:04:38 -  App Detail error for com.mx.ringtone.pro on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:04:59 -  App Detail error for com.me2zen.tripeaks.v4.and on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:04:59 -  App Detail error for com.me2zen.tripeaks.v4.and on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:05:58 -  App Detail error for com.walking.stepbooster on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:05:58 -  App Detail error for com.walking.stepbooster on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:05:58 -  App Detail error for com.walking.stepbooster on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:05:58 -  App Detail error for com.walking.stepbooster on detail developer_address: list index out of range 
20230414_21:06:25 -  App Detail error for com.train.ramp.jumping on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:06:56 -  App Detail error for com.solitaire.klondike.my.magic.dragon.friends.cardgames on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:07:29 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:07:29 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail developer_address: list index out of range 
20230414_21:08:49 -  App Detail error for com.seven.nursestory2 on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:08:49 -  App Detail error for com.seven.nursestory2 on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:08:49 -  App Detail error for com.seven.nursestory2 on detail developer_address: list index out of range 
20230415_18:05:13 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_18:05:13 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230415_18:05:13 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_18:05:13 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
20230415_18:06:12 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_18:06:12 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230428_21:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail os: 'NoneType' object is not subscriptable 
20230428_21:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail app_version: 'NoneType' object is not subscriptable 
20230428_21:24:20 -  App Detail error for com.stardust.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:24:20 -  App Detail error for com.stardust.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:24:20 -  App Detail error for com.stardust.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:24:20 -  App Detail error for com.stardust.app on detail developer_address: list index out of range 
20230428_21:24:50 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_21:24:50 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail video_link: 'NoneType' object is not subscriptable 
20230428_21:24:50 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_21:24:50 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail developer_address: list index out of range 
20230428_21:25:22 -  App Detail error for com.cavagrill.cavagrill.android.app on detail price_inapp: 'NoneType' object is not subscriptable 
