20230414_18:07:59 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:07:59 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:07:59 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail developer_address: list index out of range 
20230414_18:08:25 -  App Detail error for com.dressup.avatar.yoyo.doll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:08:59 -  App Detail error for com.sibche.aspardproject.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:08:59 -  App Detail error for com.sibche.aspardproject.app on detail video_link: list index out of range 
20230414_18:08:59 -  App Detail error for com.sibche.aspardproject.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:08:59 -  App Detail error for com.sibche.aspardproject.app on detail developer_address: list index out of range 
20230414_18:09:24 -  App Detail error for com.RenownEntertainment.Bowling on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail video_link: list index out of range 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail os: 'NoneType' object is not subscriptable 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail developer_address: list index out of range 
20230414_18:10:03 -  App Detail error for com.meesho.supply on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:10:23 -  App Detail error for com.relevantmobile.texasroadhouse on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:10:23 -  App Detail error for com.relevantmobile.texasroadhouse on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:10:23 -  App Detail error for com.relevantmobile.texasroadhouse on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:10:23 -  App Detail error for com.relevantmobile.texasroadhouse on detail developer_address: list index out of range 
20230414_18:10:50 -  App Detail error for com.memsgroupinc.fishbox on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:10:50 -  App Detail error for com.memsgroupinc.fishbox on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:11:22 -  App Detail error for com.pnc.ecommerce.mobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:11:22 -  App Detail error for com.pnc.ecommerce.mobile on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:11:22 -  App Detail error for com.pnc.ecommerce.mobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:11:22 -  App Detail error for com.pnc.ecommerce.mobile on detail developer_address: list index out of range 
20230414_18:11:53 -  App Detail error for com.rmtheis.fireguard on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:11:53 -  App Detail error for com.rmtheis.fireguard on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:12:12 -  App Detail error for com.room.temperature.meter on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:12:12 -  App Detail error for com.room.temperature.meter on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:12:12 -  App Detail error for com.room.temperature.meter on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
20230414_18:12:32 -  App Detail error for com.taxsee.taxsee on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:12:54 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:12:54 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:12:54 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:12:54 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230414_18:13:16 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:13:16 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:13:17 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:13:17 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230414_18:13:38 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:13:38 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:13:38 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230414_18:13:38 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:14:11 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:14:11 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:14:11 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:14:11 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230414_18:14:39 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:14:39 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:14:39 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:14:39 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_18:15:01 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:15:01 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:15:01 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_18:15:01 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:16:07 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:17:55 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:18:28 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:18:28 -  App Detail error for com.bros.memetroll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:18:28 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230414_18:18:53 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:18:53 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:18:53 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:19:13 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:19:13 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:19:13 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:19:46 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:19:46 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:20:30 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:20:57 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:20:57 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:21:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:21:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:21:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:21:25 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:22:46 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:22:46 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230414_18:22:46 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:22:46 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:23:13 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:23:48 -  App Detail error for com.mx.ringtone.pro on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:24:08 -  App Detail error for com.me2zen.tripeaks.v4.and on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:24:08 -  App Detail error for com.me2zen.tripeaks.v4.and on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:25:21 -  App Detail error for com.walking.stepbooster on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:25:21 -  App Detail error for com.walking.stepbooster on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:25:21 -  App Detail error for com.walking.stepbooster on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:25:21 -  App Detail error for com.walking.stepbooster on detail developer_address: list index out of range 
20230414_18:25:49 -  App Detail error for com.train.ramp.jumping on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:26:22 -  App Detail error for com.solitaire.klondike.my.magic.dragon.friends.cardgames on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:27:06 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:27:06 -  App Detail error for com.solitaire.tripeaks.happyland.android on detail developer_address: list index out of range 
20230414_18:28:40 -  App Detail error for com.seven.nursestory2 on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:28:40 -  App Detail error for com.seven.nursestory2 on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:28:40 -  App Detail error for com.seven.nursestory2 on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:28:40 -  App Detail error for com.seven.nursestory2 on detail developer_address: list index out of range 
20230415_17:07:22 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230415_17:07:22 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230415_17:07:22 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230415_17:07:22 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230428_19:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_19:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail os: 'NoneType' object is not subscriptable 
20230428_19:23:55 -  App Detail error for com.PYOPYO.StarTracker on detail app_version: 'NoneType' object is not subscriptable 
20230428_19:24:20 -  App Detail error for com.stardust.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_19:24:20 -  App Detail error for com.stardust.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:24:20 -  App Detail error for com.stardust.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_19:24:20 -  App Detail error for com.stardust.app on detail developer_address: list index out of range 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail published_date: 'NoneType' object is not subscriptable 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail published_timestamp: 'NoneType' object is not subscriptable 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_19:24:45 -  App Detail error for com.tickpickllc.ceobrien.tickpick on detail developer_address: list index out of range 
20230428_19:25:15 -  App Detail error for com.cavagrill.cavagrill.android.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_19:25:15 -  App Detail error for com.cavagrill.cavagrill.android.app on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:25:15 -  App Detail error for com.cavagrill.cavagrill.android.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_19:25:15 -  App Detail error for com.cavagrill.cavagrill.android.app on detail developer_address: list index out of range 
20230428_19:25:41 -  App Detail error for com.channel.live.accuate.forecast.weather on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:25:41 -  App Detail error for com.channel.live.accuate.forecast.weather on detail pegi_detail: 'NoneType' object is not subscriptable 
20230428_19:26:04 -  App Detail error for com.wf.wellsfargomobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230428_19:26:04 -  App Detail error for com.wf.wellsfargomobile on detail video_link: 'NoneType' object is not subscriptable 
20230428_19:26:04 -  App Detail error for com.wf.wellsfargomobile on detail pegi_detail: 'NoneType' object is not subscriptable 
