20230414_19:28:50 -  App Detail error for com.pnc.ecommerce.mobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:28:50 -  App Detail error for com.pnc.ecommerce.mobile on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:28:50 -  App Detail error for com.pnc.ecommerce.mobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:28:50 -  App Detail error for com.pnc.ecommerce.mobile on detail developer_address: list index out of range 
20230414_19:29:18 -  App Detail error for com.rmtheis.fireguard on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:29:18 -  App Detail error for com.rmtheis.fireguard on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:29:43 -  App Detail error for com.room.temperature.meter on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:29:43 -  App Detail error for com.room.temperature.meter on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:29:43 -  App Detail error for com.room.temperature.meter on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
20230414_19:30:06 -  App Detail error for com.taxsee.taxsee on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:30:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:30:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:30:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:30:35 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230414_19:31:04 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:31:04 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:31:04 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:31:04 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230414_19:31:28 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:31:28 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:31:28 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230414_19:31:28 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:32:01 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:32:01 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:32:01 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:32:01 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230414_19:32:33 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:32:33 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:32:33 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:32:33 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_19:32:59 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:32:59 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:32:59 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_19:32:59 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:33:23 -  App Detail error for com.peoplefun.bricksnballs on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:34:18 -  App Detail error for com.paurau.MoveAnimals on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:36:03 -  App Detail error for com.mobirix.driveking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:36:40 -  App Detail error for com.bros.memetroll on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:36:40 -  App Detail error for com.bros.memetroll on detail developer_address: list index out of range 
20230414_19:37:10 -  App Detail error for com.app.sammyfans on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:37:10 -  App Detail error for com.app.sammyfans on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:37:10 -  App Detail error for com.app.sammyfans on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:37:35 -  App Detail error for com.dragonflow.android.orbi on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:37:35 -  App Detail error for com.dragonflow.android.orbi on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:37:35 -  App Detail error for com.dragonflow.android.orbi on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:38:05 -  App Detail error for com.bimiboo.adventure on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:38:05 -  App Detail error for com.bimiboo.adventure on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:38:47 -  App Detail error for com.amanotes.db on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:39:12 -  App Detail error for com.playvalve.solitaire on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:39:12 -  App Detail error for com.playvalve.solitaire on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:39:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:39:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:39:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:39:36 -  App Detail error for com.microsoft.amp.apps.bingnews on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:40:58 -  App Detail error for com.microsoft.bing on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_19:40:58 -  App Detail error for com.microsoft.bing on detail video_link: list index out of range 
20230414_19:40:58 -  App Detail error for com.microsoft.bing on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_19:40:58 -  App Detail error for com.microsoft.bing on detail app_version: 'NoneType' object is not subscriptable 
20230414_19:41:30 -  App Detail error for com.prayapp.client on detail video_link: 'NoneType' object is not subscriptable 
20230414_19:41:30 -  App Detail error for com.prayapp.client on detail pegi_detail: 'NoneType' object is not subscriptable 
