20230414_18:47:14 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:47:14 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230414_18:47:14 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
20230414_18:47:14 -  App Detail error for com.taxsee.taxsee on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:47:51 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:47:51 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:47:51 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:47:51 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230414_18:48:19 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:48:19 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:48:19 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:48:19 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230414_18:48:51 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:48:51 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:48:51 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230414_18:48:51 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:50:13 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:50:13 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:50:13 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:50:13 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230414_18:50:56 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:50:56 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:50:56 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:50:56 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_18:51:31 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
