20230414_17:58:12 -  App Detail error for com.room.temperature.meter on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:58:12 -  App Detail error for com.room.temperature.meter on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail app_version: 'NoneType' object is not subscriptable 
20230414_17:59:04 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:59:04 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:59:04 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:59:04 -  App Detail error for com.pixel4d.wallpaper.background.hd.livewallpapers3d on detail developer_address: list index out of range 
20230414_17:59:30 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:59:30 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:59:30 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:59:30 -  App Detail error for com.new.free.live4dwallpaper.parallax.background on detail developer_address: list index out of range 
20230414_17:59:56 -  App Detail error for com.squarevalley.i8birdies on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:59:56 -  App Detail error for com.squarevalley.i8birdies on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:59:56 -  App Detail error for com.squarevalley.i8birdies on detail os: 'NoneType' object is not subscriptable 
20230414_17:59:56 -  App Detail error for com.squarevalley.i8birdies on detail app_version: 'NoneType' object is not subscriptable 
20230414_18:00:22 -  App Detail error for com.thomsonreuters.reuters on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:00:22 -  App Detail error for com.thomsonreuters.reuters on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:00:22 -  App Detail error for com.thomsonreuters.reuters on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:00:22 -  App Detail error for com.thomsonreuters.reuters on detail developer_address: list index out of range 
20230414_18:00:48 -  App Detail error for com.mayurpanki.beautplucam on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:00:48 -  App Detail error for com.mayurpanki.beautplucam on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:00:48 -  App Detail error for com.mayurpanki.beautplucam on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:00:48 -  App Detail error for com.mayurpanki.beautplucam on detail developer_address: list index out of range 
20230414_18:01:14 -  App Detail error for com.OnSoft.android.BluetoothChat on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:01:14 -  App Detail error for com.OnSoft.android.BluetoothChat on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:01:14 -  App Detail error for com.OnSoft.android.BluetoothChat on detail os: 'NoneType' object is not subscriptable 
20230414_18:01:14 -  App Detail error for com.OnSoft.android.BluetoothChat on detail app_version: 'NoneType' object is not subscriptable 
20230415_16:45:26 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:45:52 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230415_16:45:52 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
